country,field,year,estimated_investment,complete
Albania,Media and Entertainment,2014,5,True
Albania,All,2020,5,True
United Arab Emirates,Manufacturing,2024,0,False
Argentina,Agriculture,2017,1,True
Argentina,Biotechnology,2017,4,True
Australia,Sports,2015,0,True
Australia,Community and Lifestyle,2024,1,False
Austria,Other,2016,0,True
Austria,Consumer goods,2024,6,False
Austria,Media and Entertainment,2019,3,True
Belgium,Other,2015,8,True
Belgium,Consumer goods,2014,19,True
Belgium,Real estate,2018,3,True
Bulgaria,Software,2015,25,True
Belarus,All,2017,8,True
Bermuda,Software,2021,28,True
Bermuda,General purpose,2017,11,True
Brazil,Telecommunications,2024,41,False
Brazil,Real estate,2023,1,True
Chile,Manufacturing,2021,0,True
China (mainland),Facial Recognition,2017,83,True
China (mainland),Agriculture,2021,128,True
China (mainland),Agriculture,2024,14,False
Cyprus,"Sales, retail, commerce, marketing",2024,1,False
Czechia,Consumer goods,2023,1,True
Czechia,Healthcare and Life Sciences,2023,1,True
Denmark,Speech Recognition,2016,0,True
Denmark,Education,2020,82,True
Denmark,Finance,2017,20,True
Ecuador,All,2024,0,False
Egypt,Information Technology,2021,0,True
Estonia,Privacy and Security,2018,1,True
Estonia,Speech Recognition,2015,0,True
Finland,Biotechnology,2022,4,True
Finland,Navigation and mapping,2018,0,True
France,Lending and Investments,2019,1,True
France,Speech Recognition,2017,5,True
France,"Military, public safety and government",2020,2,True
United Kingdom,Speech Recognition,2024,5,False
Ghana,Hardware,2023,0,True
Greece,"Sales, retail, commerce, marketing",2019,0,True
Hungary,NLP,2024,0,False
Hungary,Privacy and Security,2022,24,True
Indonesia,"Sales, retail, commerce, marketing",2020,16,True
Ireland,Cyber Security,2022,4,True
Ireland,"Military, public safety and government",2019,3,True
Iran,Other,2022,0,True
Iceland,Lending and Investments,2015,0,True
Iceland,Hardware,2018,2,True
Israel,Navigation and mapping,2020,1,True
Italy,NLP,2022,1,True
Jordan,Software,2021,0,True
Japan,Cyber Security,2024,1,False
Kazakhstan,Information Technology,2020,1,True
Kazakhstan,"Mobile, platforms & Internet services",2021,1,True
South Korea,Gaming,2014,1,True
South Korea,Facial Recognition,2020,14,True
Lebanon,General purpose,2022,0,True
Luxembourg,Data and analytics,2021,305,True
Luxembourg,All,2015,0,True
Luxembourg,Professional services,2021,272,True
Latvia,Consumer goods,2022,1,True
Morocco,General purpose,2020,1,True
Mauritius,General purpose,2022,13,True
Malaysia,Other,2016,2,True
Nigeria,Media and Entertainment,2023,1,True
Nigeria,Privacy and Security,2022,1,True
Norway,Real estate,2021,35,True
New Zealand,Information Technology,2014,1,True
New Zealand,Other,2021,5,True
Pakistan,General purpose,2018,0,True
Pakistan,General purpose,2022,9,True
Peru,Software,2014,0,True
Poland,Education,2018,0,True
Poland,Privacy and Security,2022,18,True
Poland,Transportation,2024,1,False
Puerto Rico,General purpose,2020,0,True
Portugal,Biotechnology,2014,0,True
Romania,Professional services,2019,1,True
Romania,Healthcare and Life Sciences,2024,3,False
Romania,General purpose,2016,0,True
Romania,General purpose,2021,28,True
Romania,Other,2022,0,True
Russia,Media and Entertainment,2015,0,True
Saudi Arabia,Professional services,2024,0,False
Saudi Arabia,Transportation,2021,7,True
Serbia,Hardware,2015,0,True
Slovakia,Hardware,2014,1,True
Slovenia,Manufacturing,2017,0,True
Slovenia,Hardware,2015,0,True
Sweden,Agriculture,2020,1,True
Sweden,NLP,2024,0,False
Seychelles,Finance,2016,0,True
Thailand,Information Technology,2020,2,True
Thailand,Lending and Investments,2014,0,True
Thailand,All,2014,0,True
Thailand,All,2020,3,True
Taiwan,NLP,2020,1,True
Ukraine,"Mobile, platforms & Internet services",2023,3,True
Vietnam,Finance,2018,0,True
South Africa,Transportation,2016,52,True
Zambia,All,2019,1,True
Switzerland,Agriculture,2015,0,True
Iceland,General purpose,2019,2,True
Slovenia,Software,2021,4,True
Australia,Data and analytics,2019,144,True
Australia,Computer Vision,2024,35,False
Australia,Hardware,2021,77,True
Austria,All,2021,278,True
Brazil,"Mobile, platforms & Internet services",2019,199,True
Brazil,"Mobile, platforms & Internet services",2020,209,True
Brazil,Agriculture,2019,3,True
Canada,Agriculture,2016,2,True
Canada,Information Technology,2020,420,True
Canada,Transportation,2016,14,True
Canada,Biotechnology,2022,1928,True
Switzerland,Information Technology,2018,57,True
Switzerland,Cyber Security,2020,56,True
Switzerland,Healthcare and Life Sciences,2022,72,True
Chile,Data and analytics,2018,78,True
China (mainland),Real estate,2022,23,True
China (mainland),Hardware,2021,3505,True
China (mainland),Media and Entertainment,2020,350,True
China (mainland),Education,2023,116,True
China (mainland),Manufacturing,2020,317,True
China (mainland),Consumer goods,2021,1271,True
China (mainland),Transportation,2019,718,True
China (mainland),"Mobile, platforms & Internet services",2016,3737,True
China (mainland),"Mobile, platforms & Internet services",2021,1334,True
Colombia,Data and analytics,2016,0,True
Colombia,All,2017,1,True
Colombia,Software,2017,0,True
Cyprus,Data and analytics,2014,1,True
Czechia,All,2015,2,True
Germany,Information Technology,2014,86,True
Germany,Media and Entertainment,2020,15,True
Germany,Media and Entertainment,2021,174,True
Germany,Other,2024,129,False
Spain,Information Technology,2014,14,True
Spain,Media and Entertainment,2016,2,True
Estonia,Software,2020,8,True
Finland,All,2024,1520,False
Finland,Data and analytics,2017,53,True
Finland,Information Technology,2016,4,True
France,Privacy and Security,2014,4,True
France,General purpose,2022,2588,True
France,Robotics,2022,9,True
France,Data and analytics,2019,1240,True
United Kingdom,Agriculture,2015,1,True
United Kingdom,Software,2023,2837,True
United Kingdom,All,2023,4994,True
United Kingdom,Other,2018,114,True
Hungary,Data and analytics,2019,7,True
India,Information Technology,2015,432,True
India,Information Technology,2022,1856,True
India,"Sales, retail, commerce, marketing",2015,143,True
India,Real estate,2020,15,True
India,Hardware,2017,15,True
Iceland,Data and analytics,2016,3,True
Israel,NLP,2018,45,True
Israel,Hardware,2020,167,True
Israel,Transportation,2020,115,True
Israel,Other,2023,390,True
Israel,Energy and natural resources,2014,4,True
Israel,Finance,2017,31,True
Israel,Community and Lifestyle,2018,95,True
Israel,Consumer goods,2018,113,True
Italy,Information Technology,2019,2,True
Italy,"Sales, retail, commerce, marketing",2021,32,True
Japan,Professional services,2014,14,True
Japan,"Mobile, platforms & Internet services",2021,218,True
Japan,Hardware,2020,132,True
Japan,Hardware,2023,633,True
Japan,Manufacturing,2020,45,True
Japan,NLP,2018,8,True
Japan,Data and analytics,2020,355,True
South Korea,Hardware,2021,1949,True
South Korea,Healthcare and Life Sciences,2019,47,True
South Korea,Computer Vision,2022,417,True
South Korea,Software,2016,107,True
Mexico,Information Technology,2015,2,True
Malaysia,Software,2014,0,True
Malaysia,Data and analytics,2017,0,True
Netherlands,General purpose,2015,135,True
Netherlands,All,2024,1157,False
Netherlands,Healthcare and Life Sciences,2015,1,True
Netherlands,Other,2022,112,True
New Zealand,General purpose,2023,16,True
Poland,General purpose,2018,20,True
Poland,Software,2018,20,True
Portugal,Information Technology,2023,2,True
Saudi Arabia,All,2021,230,True
Singapore,Software,2024,836,False
Singapore,Navigation and mapping,2016,1,True
Singapore,Healthcare and Life Sciences,2015,9,True
Singapore,Healthcare and Life Sciences,2017,14,True
Singapore,Other,2023,99,True
Sweden,Information Technology,2017,174,True
Sweden,Professional services,2014,1,True
Sweden,Data and analytics,2015,24,True
Turkey,All,2018,8,True
Taiwan,General purpose,2020,38,True
United States,Healthcare and Life Sciences,2022,7524,True
United States,Education,2017,432,True
United States,Information Technology,2017,5726,True
United States,Information Technology,2018,15277,True
United States,Information Technology,2023,25496,True
United States,Hardware,2024,19140,False
United States,Computer Vision,2024,2477,False
United States,Finance,2014,1138,True
South Africa,Data and analytics,2024,62,False
Czechia,"Mobile, platforms & Internet services",2024,0,False
Lithuania,Software,2023,35,True
Norway,"Mobile, platforms & Internet services",2020,5,True
Canada,Telecommunications,2024,2,False
Germany,Computer Vision,2020,28,True
Germany,Computer Vision,2023,284,True
Denmark,"Sales, retail, commerce, marketing",2024,8,False
Denmark,Data and analytics,2015,9,True
Denmark,General purpose,2022,165,True
Spain,NLP,2022,1757,True
Spain,Biotechnology,2023,27,True
Finland,Healthcare and Life Sciences,2023,4,True
India,Healthcare and Life Sciences,2019,23,True
India,Community and Lifestyle,2017,1,True
India,Community and Lifestyle,2022,826,True
India,Community and Lifestyle,2023,62,True
South Korea,Biotechnology,2017,1,True
Netherlands,Media and Entertainment,2020,0,True
Netherlands,Computer Vision,2015,3,True
Netherlands,Biotechnology,2022,1,True
Netherlands,Privacy and Security,2019,12,True
Netherlands,Professional services,2021,192,True
Saudi Arabia,"Sales, retail, commerce, marketing",2016,53,True
Saudi Arabia,"Sales, retail, commerce, marketing",2019,9,True
Saudi Arabia,"Sales, retail, commerce, marketing",2022,119,True
Sweden,Finance,2021,30,True
Brazil,Healthcare and Life Sciences,2024,2,False
Switzerland,Manufacturing,2019,123,True
India,Sports,2023,19,True
Australia,Robotics,2016,0,True
Brazil,Energy and natural resources,2017,0,True
Egypt,All,2017,0,True
United Kingdom,"Military, public safety and government",2024,27,False
India,Speech Recognition,2017,1,True
Kenya,Agriculture,2019,7,True
Lithuania,Information Technology,2022,2,True
Saudi Arabia,Information Technology,2016,2,True
Germany,"Military, public safety and government",2020,9,True
Kenya,General purpose,2020,5,True
Sri Lanka,Information Technology,2017,2,True
Luxembourg,Community and Lifestyle,2018,6,True
Bangladesh,Software,2022,0,True
Chile,Agriculture,2021,1,True
Estonia,Hardware,2018,0,True
Turkey,Media and Entertainment,2019,0,True
Colombia,Real estate,2020,0,True
Belgium,Manufacturing,2023,81,True
Belize,Information Technology,2022,20,True
Cayman Islands (the),Media and Entertainment,2022,3,True
Georgia,Data and analytics,2022,5,True
Georgia,Data and analytics,2023,0,True
Qatar,Lending and Investments,2022,2,True
Côte d'Ivoire,Healthcare and Life Sciences,2023,0,True
Egypt,Hardware,2023,0,True
Zimbabwe,Professional services,2024,1,False
United Arab Emirates,Education,2019,4,True
United Arab Emirates,Finance,2020,0,True
Argentina,"Sales, retail, commerce, marketing",2016,0,True
Argentina,Agriculture,2019,1,True
Armenia,Data and analytics,2024,2,False
Austria,Computer Vision,2017,1,True
Belgium,Other,2020,20,True
Belgium,"Military, public safety and government",2016,0,True
Belgium,Professional services,2022,1,True
Bulgaria,Data and analytics,2022,0,True
Bulgaria,Software,2014,1,True
Belize,"Mobile, platforms & Internet services",2019,10,True
Chile,Gaming,2016,0,True
Chile,Professional services,2021,0,True
Chile,Finance,2024,2,False
Chile,Privacy and Security,2014,0,True
China (mainland),"Military, public safety and government",2018,8,True
China (mainland),"Military, public safety and government",2024,14,False
Colombia,Telecommunications,2021,0,True
Cyprus,Finance,2019,1,True
Cyprus,Gaming,2020,3,True
Czechia,NLP,2014,0,True
Germany,Sports,2019,5,True
Denmark,Professional services,2020,14,True
Denmark,Education,2022,1,True
Egypt,Professional services,2018,0,True
Spain,Agriculture,2017,1,True
Estonia,Lending and Investments,2015,0,True
Estonia,Finance,2018,1,True
Estonia,Education,2017,1,True
Estonia,Education,2022,2,True
Finland,Gaming,2017,0,True
Finland,Transportation,2019,217,True
France,Agriculture,2024,2,False
Greece,Privacy and Security,2014,373,True
Greece,Agriculture,2015,0,True
Greece,Community and Lifestyle,2024,0,False
Croatia,Consumer goods,2018,3,True
Hungary,Agriculture,2020,0,True
Ireland,NLP,2021,20,True
Ireland,Computer Vision,2020,1,True
Ireland,Transportation,2019,1,True
Ireland,Lending and Investments,2017,23,True
Iran,Software,2018,0,True
Israel,Navigation and mapping,2021,146,True
Italy,"Military, public safety and government",2023,2,True
Jordan,Software,2023,1,True
South Korea,Gaming,2022,2,True
South Korea,Sports,2018,0,True
Lithuania,Professional services,2023,0,True
Lithuania,Consumer goods,2019,2,True
Luxembourg,Media and Entertainment,2016,0,True
Luxembourg,"Mobile, platforms & Internet services",2015,0,True
Luxembourg,"Sales, retail, commerce, marketing",2022,0,True
Latvia,"Sales, retail, commerce, marketing",2021,0,True
Latvia,Hardware,2016,0,True
Mexico,Telecommunications,2018,1,True
Mauritius,All,2022,60,True
Malaysia,Manufacturing,2020,6,True
Nigeria,Hardware,2020,0,True
Netherlands,Sports,2020,0,True
Netherlands,Real estate,2016,4,True
Netherlands,Navigation and mapping,2014,0,True
Netherlands,Speech Recognition,2021,10,True
New Zealand,Healthcare and Life Sciences,2019,250,True
New Zealand,NLP,2014,1,True
New Zealand,Media and Entertainment,2019,8,True
New Zealand,Education,2015,3,True
New Zealand,Biotechnology,2014,1,True
New Zealand,Privacy and Security,2015,1,True
New Zealand,Privacy and Security,2018,3,True
Pakistan,"Sales, retail, commerce, marketing",2024,3,False
Pakistan,Community and Lifestyle,2016,0,True
Pakistan,"Mobile, platforms & Internet services",2022,8,True
Peru,General purpose,2019,1,True
Poland,Biotechnology,2018,1,True
Poland,Biotechnology,2020,1,True
Poland,Gaming,2019,2,True
Puerto Rico,Data and analytics,2017,0,True
Portugal,Computer Vision,2020,0,True
Portugal,NLP,2014,1,True
Portugal,Manufacturing,2019,6,True
Portugal,Energy and natural resources,2015,0,True
Romania,Education,2019,0,True
Romania,Community and Lifestyle,2020,0,True
Russia,Healthcare and Life Sciences,2020,5,True
Russia,Finance,2019,5,True
Saudi Arabia,Community and Lifestyle,2014,2,True
Saudi Arabia,Community and Lifestyle,2021,8,True
Saudi Arabia,Real estate,2016,1,True
Singapore,Consumer goods,2015,14,True
Singapore,Semiconductor,2016,2,True
Slovakia,Transportation,2023,1,True
Slovakia,General purpose,2014,1,True
Slovakia,Data and analytics,2018,2,True
Slovenia,"Mobile, platforms & Internet services",2022,3,True
Slovenia,Healthcare and Life Sciences,2014,0,True
Sweden,Education,2016,1,True
Sweden,Consumer goods,2019,7,True
Sweden,Robotics,2014,3,True
Turkey,Transportation,2022,3,True
Turkey,Consumer goods,2021,0,True
Turkey,Healthcare and Life Sciences,2023,2,True
Uruguay,Finance,2023,0,True
South Africa,Real estate,2020,0,True
South Africa,Community and Lifestyle,2024,0,False
Zambia,Agriculture,2019,1,True
Zimbabwe,Software,2019,0,True
Switzerland,Agriculture,2021,9,True
Slovenia,Software,2018,0,True
Slovenia,General purpose,2022,3,True
Sweden,Media and Entertainment,2020,13,True
Australia,Information Technology,2024,175,False
Australia,Data and analytics,2018,155,True
Australia,"Mobile, platforms & Internet services",2018,22,True
Australia,Transportation,2016,39,True
Australia,Healthcare and Life Sciences,2016,3,True
Austria,Hardware,2020,25,True
Belgium,Software,2015,108,True
Belgium,"Mobile, platforms & Internet services",2014,23,True
Brazil,Finance,2018,28,True
Brazil,Hardware,2015,121,True
Brazil,Agriculture,2018,3,True
Canada,Computer Vision,2015,4,True
Canada,Healthcare and Life Sciences,2022,2933,True
Canada,Lending and Investments,2021,39,True
Canada,Privacy and Security,2020,88,True
Canada,Privacy and Security,2024,150,False
Canada,Hardware,2019,214,True
Canada,Community and Lifestyle,2020,58,True
Canada,Information Technology,2021,438,True
Canada,All,2021,3221,True
Switzerland,Software,2022,783,True
Switzerland,Information Technology,2022,633,True
Switzerland,Cyber Security,2016,21,True
Switzerland,Cyber Security,2023,2,True
Switzerland,General purpose,2017,221,True
Chile,Data and analytics,2024,38,False
China (mainland),Privacy and Security,2022,65,True
China (mainland),Information Technology,2023,1278,True
China (mainland),Manufacturing,2019,812,True
China (mainland),Consumer goods,2017,199,True
China (mainland),Data and analytics,2017,2059,True
