country,field,year,num_patent_applications,complete
Argentina,All,2021,6,False
Argentina,Energy Management,2022,1,False
Argentina,Transportation,2018,0,True
Austria,Industry and Manufacturing,2021,2,False
Australia,Physical Sciences and Engineering,2014,6,True
Brazil,Physical Sciences and Engineering,2020,13,False
Canada,Energy Management,2019,17,True
Canada,All,2020,883,False
Switzerland,Energy Management,2015,0,True
China (mainland),Industry and Manufacturing,2021,3765,False
Germany,Security,2023,9,False
Germany,All,2022,693,False
Germany,All,2023,69,False
Denmark,Security,2020,2,False
Spain,Physical Sciences and Engineering,2017,5,True
Spain,Personal Devices and Computing,2020,14,False
Spain,Business,2015,2,True
Finland,Business,2022,0,False
Finland,Transportation,2019,3,True
Greece,Business,2019,0,True
Hong Kong,All,2016,4,True
Hungary,All,2017,8,True
Israel,Security,2020,9,False
India,Personal Devices and Computing,2018,159,True
India,Life Sciences,2015,20,True
Italy,All,2019,61,True
Japan,All,2018,3560,True
South Korea,All,2015,458,True
South Korea,Banking and Finance,2014,8,True
South Korea,Business,2021,1640,False
Lithuania,Banking and Finance,2015,1,True
Lithuania,All,2015,4,True
Luxembourg,Telecommunications,2019,4,True
Latvia,Telecommunications,2020,1,False
Morocco,Business,2014,0,True
Morocco,Business,2018,0,True
Morocco,Personal Devices and Computing,2015,1,True
Mexico,Business,2023,0,False
Mexico,Industry and Manufacturing,2016,7,True
Mexico,All,2017,70,True
Malaysia,Banking and Finance,2015,4,True
Malaysia,Physical Sciences and Engineering,2019,1,True
Norway,Business,2018,1,True
Norway,Telecommunications,2017,0,True
New Zealand,All,2021,2,False
New Zealand,Banking and Finance,2015,5,True
New Zealand,Business,2017,2,True
New Zealand,Industry and Manufacturing,2016,0,True
Peru,Physical Sciences and Engineering,2018,1,True
Philippines,Personal Devices and Computing,2015,1,True
Philippines,Telecommunications,2018,0,True
Poland,Transportation,2019,1,True
Portugal,Security,2015,0,True
Portugal,Telecommunications,2015,2,True
Portugal,Telecommunications,2017,2,True
Portugal,Industry and Manufacturing,2017,1,True
Romania,Telecommunications,2019,1,True
Romania,Life Sciences,2020,0,False
Serbia,Transportation,2017,1,True
Russia,Business,2017,20,True
Russia,Telecommunications,2015,14,True
Sweden,Telecommunications,2019,4,True
Singapore,Business,2017,23,True
Singapore,Life Sciences,2017,34,True
Turkey,Personal Devices and Computing,2014,0,True
Turkey,Business,2020,8,False
Turkey,Physical Sciences and Engineering,2020,2,False
United States,Telecommunications,2014,616,True
United States,Personal Devices and Computing,2023,79,False
United States,Industry and Manufacturing,2015,111,True
South Africa,Security,2016,1,True
South Africa,Energy Management,2018,1,True
Estonia,Telecommunications,2022,0,False
Oman,Energy Management,2016,0,True
Oman,Business,2016,0,True
Slovakia,Energy Management,2020,0,False
Slovenia,Transportation,2016,0,True
Slovenia,Security,2016,0,True
Colombia,Transportation,2022,0,False
Czechia,Security,2023,0,False
Belgium,Banking and Finance,2017,0,True
Bulgaria,Transportation,2018,0,True
Romania,Personal Devices and Computing,2023,0,False
Serbia,Security,2015,0,True
Ukraine,Banking and Finance,2019,0,True
Serbia,Life Sciences,2018,1,True
South Africa,Industry and Manufacturing,2016,0,True
Indonesia,Life Sciences,2016,1,True
Panama,Life Sciences,2016,1,True
Costa Rica,Life Sciences,2019,1,True
Argentina,Security,2021,0,False
Austria,Business,2020,2,False
Austria,All,2014,2,True
Australia,Energy Management,2022,4,False
Australia,Transportation,2017,27,True
Belgium,Personal Devices and Computing,2023,1,False
Belgium,Physical Sciences and Engineering,2021,1,False
Brazil,Security,2021,4,False
Brazil,Life Sciences,2017,25,True
Brazil,Transportation,2020,8,False
Brazil,Business,2018,21,True
Canada,Transportation,2014,11,True
Canada,Physical Sciences and Engineering,2017,36,True
Switzerland,Banking and Finance,2020,1,False
Switzerland,All,2021,11,False
Switzerland,Telecommunications,2016,0,True
Chile,Life Sciences,2019,0,True
Chile,Physical Sciences and Engineering,2019,0,True
China (mainland),Banking and Finance,2015,29,True
China (mainland),Security,2024,35,False
Colombia,Business,2015,0,True
Czechia,All,2019,1,True
Czechia,Personal Devices and Computing,2020,1,False
Germany,Banking and Finance,2017,16,True
Germany,Personal Devices and Computing,2017,129,True
Germany,Business,2017,24,True
Spain,Industry and Manufacturing,2020,5,False
Spain,Industry and Manufacturing,2022,4,False
Finland,Life Sciences,2017,4,True
Finland,Security,2016,1,True
France,Security,2014,0,True
France,Security,2019,21,True
France,Security,2020,20,False
France,Banking and Finance,2021,7,False
France,All,2014,33,True
United Kingdom,Energy Management,2018,10,True
United Kingdom,Personal Devices and Computing,2024,0,False
Greece,Telecommunications,2021,2,False
Greece,Life Sciences,2014,1,True
Hong Kong,Business,2016,0,True
Hong Kong,Business,2019,0,True
Hungary,Transportation,2019,0,True
Hungary,Telecommunications,2017,4,True
Hungary,Telecommunications,2018,1,True
Hungary,Energy Management,2022,0,False
Ireland,Life Sciences,2021,0,False
Israel,All,2014,6,True
India,Personal Devices and Computing,2014,24,True
Italy,All,2016,21,True
Italy,Personal Devices and Computing,2019,15,True
Japan,Physical Sciences and Engineering,2016,35,True
Japan,Industry and Manufacturing,2022,93,False
Japan,Life Sciences,2023,2,False
South Korea,Personal Devices and Computing,2018,1313,True
South Korea,Energy Management,2019,385,True
South Korea,Life Sciences,2020,1346,False
Lithuania,Physical Sciences and Engineering,2020,2,False
Lithuania,Business,2014,1,True
Lithuania,Business,2018,0,True
Luxembourg,Energy Management,2022,2,False
Luxembourg,Banking and Finance,2016,0,True
Luxembourg,Security,2020,1,False
Morocco,Life Sciences,2021,1,False
Mexico,Banking and Finance,2021,1,False
Mexico,Energy Management,2020,5,False
Malaysia,Telecommunications,2017,1,True
Netherlands,Energy Management,2023,0,False
Netherlands,Industry and Manufacturing,2018,0,True
Norway,Physical Sciences and Engineering,2017,0,True
Norway,Industry and Manufacturing,2018,1,True
Norway,Telecommunications,2014,0,True
New Zealand,Personal Devices and Computing,2014,0,True
New Zealand,Business,2016,0,True
Peru,Transportation,2015,0,True
Peru,Banking and Finance,2021,1,False
Philippines,Banking and Finance,2016,0,True
Philippines,Life Sciences,2019,0,True
Philippines,All,2020,2,False
Poland,Physical Sciences and Engineering,2022,0,False
Poland,Banking and Finance,2023,0,False
Poland,Security,2017,0,True
Portugal,Industry and Manufacturing,2015,0,True
Portugal,Transportation,2022,0,False
Romania,Telecommunications,2021,0,False
Romania,Physical Sciences and Engineering,2019,0,True
Sweden,Physical Sciences and Engineering,2021,1,False
Sweden,Banking and Finance,2017,1,True
Sweden,Banking and Finance,2019,0,True
Slovenia,Life Sciences,2022,0,False
Tunisia,Security,2020,0,False
Turkey,Business,2018,4,True
Taiwan,Business,2023,0,False
Taiwan,Telecommunications,2019,50,True
Taiwan,Security,2015,1,True
Ukraine,Personal Devices and Computing,2014,0,True
United States,All,2017,9932,True
South Africa,All,2022,70,False
South Africa,Security,2021,0,False
Kenya,Business,2016,0,True
"Moldova, Republic of",Life Sciences,2021,0,False
Latvia,Transportation,2017,0,True
Uruguay,Energy Management,2020,0,False
Croatia,Banking and Finance,2019,0,True
Slovakia,Transportation,2021,0,False
Ireland,Industry and Manufacturing,2021,0,False
Philippines,Security,2018,0,True
Philippines,Industry and Manufacturing,2016,0,True
Chile,Business,2022,0,False
Romania,Transportation,2017,0,True
Romania,Industry and Manufacturing,2019,0,True
Ukraine,Telecommunications,2014,0,True
Ukraine,Business,2021,0,False
Israel,Energy Management,2016,0,True
Serbia,Telecommunications,2021,0,False
Argentina,All,2020,10,False
Argentina,Energy Management,2019,0,True
Argentina,Transportation,2020,0,False
Austria,Transportation,2018,5,True
Belgium,Telecommunications,2022,0,False
Belgium,Energy Management,2020,1,False
Bulgaria,All,2022,2,False
Brazil,Energy Management,2022,0,False
Canada,Physical Sciences and Engineering,2018,63,True
Switzerland,Security,2019,0,True
Switzerland,Business,2014,2,True
Chile,Telecommunications,2022,0,False
Chile,Security,2019,0,True
China (mainland),Banking and Finance,2019,966,True
Colombia,Physical Sciences and Engineering,2021,0,False
Czechia,Industry and Manufacturing,2023,1,False
Germany,Security,2014,2,True
Denmark,Security,2016,1,True
Spain,Energy Management,2016,5,True
Finland,Banking and Finance,2016,0,True
