country,field,year,num_patent_granted,complete
Turkey,Industry and Manufacturing,2019,0,False
Brazil,Industry and Manufacturing,2017,4,True
Brazil,All,2015,50,True
Hungary,Transportation,2015,2,True
Hungary,Life Sciences,2020,0,False
Hungary,Telecommunications,2016,2,True
India,Transportation,2021,0,False
Italy,Personal Devices and Computing,2020,6,False
Italy,All,2018,18,False
Italy,Security,2021,1,False
Italy,Life Sciences,2020,4,False
Mexico,All,2020,46,False
Malaysia,Energy Management,2014,1,True
Malaysia,Energy Management,2017,0,True
Malaysia,Transportation,2017,1,True
New Zealand,Life Sciences,2015,3,True
New Zealand,Transportation,2018,0,False
New Zealand,Business,2021,0,False
Russia,Security,2014,3,True
Russia,All,2014,78,True
Singapore,Telecommunications,2017,25,True
Singapore,Life Sciences,2015,10,True
Singapore,Industry and Manufacturing,2021,0,False
Canada,Physical Sciences and Engineering,2020,22,False
Denmark,Life Sciences,2021,1,False
Denmark,Personal Devices and Computing,2015,7,True
Finland,Personal Devices and Computing,2020,10,False
Portugal,Personal Devices and Computing,2016,2,True
Australia,Industry and Manufacturing,2017,17,True
Australia,Security,2017,16,True
Germany,Personal Devices and Computing,2017,101,True
Germany,All,2018,417,False
Germany,Banking and Finance,2017,11,True
Spain,Telecommunications,2019,19,False
United Kingdom,Transportation,2021,8,False
United Kingdom,Telecommunications,2022,13,False
Japan,Energy Management,2015,50,True
Japan,Energy Management,2017,71,True
Japan,Industry and Manufacturing,2022,27,False
Japan,Business,2019,280,False
South Korea,Banking and Finance,2021,146,False
Netherlands,Banking and Finance,2017,0,True
Netherlands,All,2016,6,True
Netherlands,All,2019,24,False
Taiwan,Energy Management,2016,3,True
United States,Life Sciences,2023,13,False
United States,Business,2021,561,False
United States,Security,2017,581,True
United States,Security,2019,960,False
United States,Transportation,2021,362,False
United States,Transportation,2022,115,False
United States,Personal Devices and Computing,2023,76,False
United States,Banking and Finance,2019,649,False
China (mainland),Banking and Finance,2019,370,False
Lithuania,Energy Management,2020,1,False
Lithuania,Physical Sciences and Engineering,2018,1,False
Ukraine,Energy Management,2014,0,True
Romania,Telecommunications,2019,1,False
Romania,Life Sciences,2018,1,False
Philippines,Business,2016,0,True
Philippines,Transportation,2020,0,False
Philippines,All,2016,1,True
Peru,Security,2018,0,False
Peru,Telecommunications,2015,0,True
Peru,Personal Devices and Computing,2020,2,False
Peru,Physical Sciences and Engineering,2015,1,True
Bulgaria,Energy Management,2021,0,False
Croatia,Physical Sciences and Engineering,2019,0,False
Colombia,Security,2019,0,False
Kenya,Transportation,2016,1,True
Norway,Industry and Manufacturing,2016,0,True
Luxembourg,All,2019,10,False
Luxembourg,Business,2020,2,False
Czechia,All,2021,2,False
Czechia,Life Sciences,2019,0,False
Argentina,Telecommunications,2020,1,False
Argentina,Physical Sciences and Engineering,2022,1,False
Uruguay,Transportation,2020,0,False
Turkey,All,2017,3,True
Morocco,Industry and Manufacturing,2020,0,False
Brazil,Energy Management,2019,6,False
Brazil,Security,2014,2,True
Hungary,Industry and Manufacturing,2017,0,True
India,Banking and Finance,2019,0,False
India,Physical Sciences and Engineering,2020,0,False
Italy,Physical Sciences and Engineering,2020,0,False
Mexico,Transportation,2021,0,False
Malaysia,Business,2016,1,True
New Zealand,Industry and Manufacturing,2016,0,True
New Zealand,Security,2015,2,True
New Zealand,Energy Management,2019,0,False
Russia,Business,2021,1,False
Russia,Life Sciences,2017,33,True
Russia,Life Sciences,2021,15,False
Austria,Security,2017,0,True
Austria,Personal Devices and Computing,2019,0,False
Austria,Personal Devices and Computing,2021,4,False
Austria,Telecommunications,2017,0,True
Austria,Life Sciences,2019,0,False
Austria,All,2018,10,False
Austria,Industry and Manufacturing,2016,0,True
Canada,Life Sciences,2014,29,True
Canada,Telecommunications,2015,26,True
Denmark,Business,2017,0,True
Finland,Personal Devices and Computing,2017,6,True
Finland,Security,2018,2,False
Poland,Industry and Manufacturing,2014,1,True
Poland,Personal Devices and Computing,2016,4,True
Poland,Energy Management,2020,0,False
Poland,Energy Management,2021,0,False
Portugal,Banking and Finance,2015,0,True
Sweden,Industry and Manufacturing,2017,1,True
Australia,Personal Devices and Computing,2023,1,False
France,Physical Sciences and Engineering,2020,11,False
France,Industry and Manufacturing,2015,1,True
France,Industry and Manufacturing,2021,1,False
United Kingdom,Transportation,2022,7,False
Greece,Transportation,2014,0,True
Greece,Security,2019,0,False
Greece,Business,2015,0,True
Greece,Physical Sciences and Engineering,2017,0,True
Greece,Industry and Manufacturing,2018,1,False
Japan,Industry and Manufacturing,2016,98,True
Japan,Banking and Finance,2014,10,True
Japan,Telecommunications,2015,71,True
South Korea,Telecommunications,2023,15,False
South Korea,Physical Sciences and Engineering,2019,209,False
South Korea,Physical Sciences and Engineering,2022,88,False
South Korea,All,2018,3246,False
Netherlands,Telecommunications,2020,1,False
Netherlands,Industry and Manufacturing,2020,2,False
Netherlands,Personal Devices and Computing,2017,1,True
Netherlands,Physical Sciences and Engineering,2022,4,False
Taiwan,Energy Management,2018,6,False
United States,Transportation,2019,1300,False
China (mainland),Industry and Manufacturing,2016,169,True
China (mainland),Industry and Manufacturing,2017,329,True
China (mainland),Industry and Manufacturing,2024,51,False
China (mainland),Banking and Finance,2021,711,False
China (mainland),All,2014,1644,True
China (mainland),Life Sciences,2019,1620,False
China (mainland),Energy Management,2017,380,True
Ukraine,All,2022,1,False
South Africa,Business,2016,2,True
Romania,Business,2017,1,True
Romania,Security,2019,0,False
Philippines,Physical Sciences and Engineering,2015,0,True
Peru,Banking and Finance,2015,0,True
Slovenia,Telecommunications,2018,1,False
Bulgaria,Personal Devices and Computing,2020,0,False
Slovakia,Personal Devices and Computing,2021,0,False
Kenya,Business,2016,0,True
Luxembourg,Energy Management,2020,0,False
Luxembourg,Industry and Manufacturing,2019,0,False
Belgium,Industry and Manufacturing,2023,0,False
Belgium,Telecommunications,2018,1,False
Belgium,Telecommunications,2020,0,False
Belgium,Business,2023,1,False
Czechia,Security,2022,0,False
Czechia,Banking and Finance,2020,0,False
Czechia,Telecommunications,2018,0,False
Argentina,Business,2020,0,False
Argentina,Transportation,2017,0,True
Latvia,Physical Sciences and Engineering,2020,0,False
Turkey,All,2016,1,True
Hungary,Security,2021,0,False
Hungary,Transportation,2021,0,False
Italy,Industry and Manufacturing,2021,2,False
Italy,Life Sciences,2018,3,False
Mexico,Physical Sciences and Engineering,2021,6,False
Malaysia,Industry and Manufacturing,2021,0,False
New Zealand,Personal Devices and Computing,2015,6,True
Russia,Security,2016,13,True
Singapore,Security,2021,1,False
Singapore,Energy Management,2019,1,False
Austria,Business,2022,0,False
Austria,Energy Management,2018,1,False
Canada,Business,2018,78,False
Canada,Energy Management,2016,7,True
Finland,Life Sciences,2015,2,True
Israel,Life Sciences,2018,0,False
Portugal,Personal Devices and Computing,2015,1,True
Portugal,Telecommunications,2021,1,False
Portugal,Telecommunications,2022,0,False
Sweden,Personal Devices and Computing,2015,2,True
Sweden,Personal Devices and Computing,2020,7,False
Australia,Banking and Finance,2023,0,False
Australia,All,2022,20,False
Germany,Telecommunications,2015,17,True
Germany,Telecommunications,2019,59,False
Germany,Energy Management,2016,12,True
Spain,Security,2018,4,False
Spain,All,2023,3,False
France,Security,2018,11,False
France,Life Sciences,2018,23,False
France,All,2023,1,False
United Kingdom,Life Sciences,2023,1,False
United Kingdom,Telecommunications,2014,10,True
United Kingdom,Telecommunications,2015,18,True
United Kingdom,Industry and Manufacturing,2018,19,False
United Kingdom,Energy Management,2015,4,True
United Kingdom,All,2020,186,False
Greece,Energy Management,2016,0,True
Greece,Industry and Manufacturing,2019,0,False
Japan,Energy Management,2018,105,False
Japan,Personal Devices and Computing,2022,54,False
Japan,Telecommunications,2023,1,False
South Korea,Physical Sciences and Engineering,2018,140,False
South Korea,Business,2015,19,True
Netherlands,Industry and Manufacturing,2023,0,False
Netherlands,Energy Management,2020,0,False
Taiwan,Personal Devices and Computing,2019,111,False
Taiwan,Industry and Manufacturing,2016,8,True
Taiwan,Industry and Manufacturing,2019,18,False
Taiwan,Energy Management,2014,2,True
United States,Security,2015,192,True
United States,Security,2023,16,False
United States,Telecommunications,2015,741,True
United States,Industry and Manufacturing,2023,1,False
China (mainland),Physical Sciences and Engineering,2022,1105,False
Lithuania,All,2022,1,False
Ukraine,Industry and Manufacturing,2014,0,True
Serbia,Industry and Manufacturing,2014,1,True
South Africa,Transportation,2016,0,True
South Africa,Life Sciences,2018,0,False
South Africa,Life Sciences,2021,0,False
South Africa,All,2018,4,False
Switzerland,Energy Management,2021,0,False
Switzerland,Banking and Finance,2016,2,True
Switzerland,Banking and Finance,2021,0,False
Switzerland,Business,2020,0,False
Romania,Transportation,2015,0,True
Philippines,Business,2020,0,False
Peru,All,2015,2,True
Slovenia,Physical Sciences and Engineering,2018,1,False
Slovenia,Security,2015,0,True
Bulgaria,Personal Devices and Computing,2022,0,False
Bulgaria,Physical Sciences and Engineering,2018,0,False
Sri Lanka,Transportation,2016,0,True
Belgium,Energy Management,2018,0,False
Belgium,Life Sciences,2016,0,True
Belgium,Telecommunications,2016,0,True
Belgium,Personal Devices and Computing,2016,1,True
Czechia,Physical Sciences and Engineering,2023,0,False
Czechia,Personal Devices and Computing,2018,1,False
Czechia,Industry and Manufacturing,2021,0,False
Argentina,Energy Management,2020,0,False
Uruguay,Personal Devices and Computing,2017,0,True
Saudi Arabia,Physical Sciences and Engineering,2021,0,False
Brunei Darussalam,Life Sciences,2014,1,True
Turkey,Physical Sciences and Engineering,2016,0,True
Hungary,Energy Management,2014,0,True
Hungary,Physical Sciences and Engineering,2020,0,False
India,Life Sciences,2016,19,True
India,All,2019,8,False
Italy,Transportation,2020,2,False
Mexico,Security,2017,3,True
Malaysia,Business,2019,1,False
New Zealand,Banking and Finance,2019,0,False
New Zealand,Security,2018,1,False
Russia,Life Sciences,2014,10,True
Russia,Telecommunications,2014,6,True
Singapore,Energy Management,2015,1,True
Austria,Life Sciences,2020,0,False
Canada,All,2019,444,False
Canada,All,2020,313,False
Canada,Life Sciences,2022,1,False
Canada,Industry and Manufacturing,2019,32,False
Denmark,All,2015,20,True
Denmark,All,2018,21,False
Israel,Transportation,2017,5,True
Israel,Physical Sciences and Engineering,2022,0,False
Israel,Life Sciences,2014,0,True
Poland,Telecommunications,2022,0,False
Poland,Banking and Finance,2015,1,True
Poland,Security,2015,0,True
Portugal,Security,2014,0,True
Portugal,Security,2016,1,True
Portugal,Life Sciences,2018,1,False
Sweden,Transportation,2014,0,True
Sweden,Business,2019,0,False
Sweden,Security,2015,0,True
Sweden,Industry and Manufacturing,2020,4,False
Australia,Personal Devices and Computing,2016,109,True
Australia,Energy Management,2021,44,False
Germany,Transportation,2018,157,False
Germany,Business,2022,8,False
Germany,Industry and Manufacturing,2018,45,False
Germany,Industry and Manufacturing,2022,10,False
Germany,Physical Sciences and Engineering,2021,13,False
Spain,Industry and Manufacturing,2020,3,False
Spain,Banking and Finance,2021,1,False
France,Energy Management,2017,5,True
United Kingdom,Security,2019,20,False
Greece,Personal Devices and Computing,2015,1,True
Greece,Banking and Finance,2017,0,True
Japan,Physical Sciences and Engineering,2018,113,False
Japan,Physical Sciences and Engineering,2022,16,False
South Korea,Telecommunications,2017,380,True
South Korea,Business,2016,106,True
Netherlands,Personal Devices and Computing,2016,2,True
Taiwan,Telecommunications,2017,14,True
Taiwan,Telecommunications,2020,53,False
United States,Business,2019,1542,False
United States,Physical Sciences and Engineering,2022,38,False
United States,Physical Sciences and Engineering,2023,2,False
China (mainland),Business,2016,302,True
China (mainland),Telecommunications,2018,1708,False
Ukraine,Life Sciences,2014,0,True
Serbia,Telecommunications,2018,1,False
South Africa,Industry and Manufacturing,2016,0,True
Philippines,Telecommunications,2020,0,False
Philippines,Business,2017,1,True
Philippines,Personal Devices and Computing,2018,0,False
Philippines,Industry and Manufacturing,2016,0,True
Peru,Energy Management,2015,0,True
Slovenia,Banking and Finance,2022,0,False
Slovenia,Telecommunications,2015,0,True
Chile,Energy Management,2018,0,False
Norway,All,2022,1,False
Luxembourg,Personal Devices and Computing,2021,9,False
Luxembourg,Transportation,2018,1,False
