country,field,year,disclosed_investment,complete
United Arab Emirates,Real estate,2022,3,True
Australia,Lending and Investments,2016,0,True
Austria,NLP,2016,0,True
Belgium,Energy and natural resources,2020,2,True
Bulgaria,Professional services,2024,2,False
Brazil,Robotics,2023,0,True
Brazil,Privacy and Security,2022,52,True
Brazil,Manufacturing,2024,5,False
Chile,Education,2022,0,True
Chile,Information Technology,2020,2,True
Chile,Gaming,2018,0,True
China (mainland),Cyber Security,2019,7,True
Colombia,Speech Recognition,2019,0,True
Colombia,Speech Recognition,2020,0,True
Cyprus,Gaming,2018,1,True
Cyprus,"Mobile, platforms & Internet services",2015,1,True
Denmark,Professional services,2020,14,True
Spain,Facial Recognition,2022,0,True
Spain,Agriculture,2020,1,True
Finland,Transportation,2016,3,True
Finland,Computer Vision,2024,0,False
France,Telecommunications,2019,1,True
United Kingdom,Semiconductor,2021,9,True
United Kingdom,Semiconductor,2024,143,False
Greece,Hardware,2023,110,True
Greece,General purpose,2018,1,True
Greece,General purpose,2019,1,True
Hungary,Community and Lifestyle,2024,0,False
Hungary,Consumer goods,2020,1,True
Indonesia,Media and Entertainment,2024,0,False
Ireland,Robotics,2016,1,True
Iceland,Other,2019,2,True
Iceland,Finance,2015,0,True
Iceland,Gaming,2018,1,True
Israel,Speech Recognition,2021,3,True
Israel,Lending and Investments,2020,6,True
Jordan,Software,2023,0,True
Jordan,"Mobile, platforms & Internet services",2019,1,True
Japan,Simulation,2019,1,True
Japan,Consumer goods,2023,280,True
Kazakhstan,Information Technology,2020,0,True
Kenya,Other,2018,0,True
Lebanon,Professional services,2014,0,True
Sri Lanka,"Mobile, platforms & Internet services",2020,0,True
Sri Lanka,Software,2018,2,True
Lithuania,Gaming,2019,0,True
Luxembourg,"Sales, retail, commerce, marketing",2022,0,True
Luxembourg,Information Technology,2015,0,True
Latvia,"Mobile, platforms & Internet services",2024,0,False
Mauritius,Information Technology,2021,0,True
Malaysia,Agriculture,2019,0,True
Nigeria,Other,2018,0,True
Nigeria,"Mobile, platforms & Internet services",2017,0,True
New Zealand,Biotechnology,2022,0,True
Pakistan,All,2015,1,True
Peru,Media and Entertainment,2015,0,True
Peru,Software,2024,2,False
Poland,NLP,2018,0,True
Poland,Media and Entertainment,2022,0,True
Poland,Sports,2015,0,True
Puerto Rico,"Mobile, platforms & Internet services",2017,0,True
Puerto Rico,"Mobile, platforms & Internet services",2019,1,True
Portugal,Energy and natural resources,2020,1,True
Portugal,Energy and natural resources,2024,2,False
Portugal,Finance,2015,4,True
Portugal,Media and Entertainment,2022,3,True
Portugal,"Sales, retail, commerce, marketing",2022,2,True
Romania,Healthcare and Life Sciences,2023,1,True
Slovakia,Navigation and mapping,2018,1,True
Sweden,Gaming,2024,0,False
Sweden,Community and Lifestyle,2019,0,True
Trinidad and Tobago,All,2021,3,True
Tunisia,Healthcare and Life Sciences,2022,0,True
Turkey,Privacy and Security,2023,0,True
Slovenia,General purpose,2016,0,True
Sweden,Media and Entertainment,2022,3,True
Australia,Hardware,2019,16,True
Australia,"Mobile, platforms & Internet services",2020,37,True
Australia,Information Technology,2017,9,True
Austria,Data and analytics,2017,5,True
Belgium,Data and analytics,2024,199,False
Belgium,Finance,2018,4,True
Canada,Media and Entertainment,2015,9,True
Canada,Manufacturing,2022,995,True
Canada,Data and analytics,2023,516,True
Canada,Biotechnology,2018,4,True
Canada,Biotechnology,2023,67,True
Canada,Biotechnology,2024,11,False
Canada,Consumer goods,2019,59,True
Canada,All,2020,1054,True
Switzerland,All,2014,12,True
Switzerland,Software,2023,44,True
Switzerland,Cyber Security,2015,0,True
Chile,All,2024,13,False
China (mainland),Information Technology,2024,800,False
China (mainland),Real estate,2016,42,True
China (mainland),"Mobile, platforms & Internet services",2024,156,False
China (mainland),General purpose,2022,1504,True
Colombia,General purpose,2017,0,True
Czechia,Software,2022,84,True
Czechia,Data and analytics,2022,27,True
Germany,Software,2018,119,True
Germany,General purpose,2018,106,True
Germany,General purpose,2019,110,True
Germany,Professional services,2016,3,True
Germany,Consumer goods,2017,0,True
Spain,Transportation,2019,2,True
Spain,"Mobile, platforms & Internet services",2023,11,True
Spain,Information Technology,2023,18,True
Spain,Energy and natural resources,2016,18,True
Spain,Energy and natural resources,2019,5,True
Spain,Computer Vision,2021,3,True
Estonia,All,2024,16,False
Estonia,Information Technology,2020,4,True
France,Biotechnology,2016,2,True
France,All,2019,943,True
France,All,2024,1957,False
France,Information Technology,2016,41,True
France,Transportation,2020,12,True
France,Transportation,2022,16,True
United Kingdom,"Mobile, platforms & Internet services",2021,713,True
United Kingdom,Software,2022,1441,True
United Kingdom,Professional services,2014,553,True
United Kingdom,General purpose,2024,1364,False
United Kingdom,Information Technology,2018,128,True
United Kingdom,Education,2014,1,True
Greece,Software,2016,6,True
Hungary,Software,2016,3,True
India,Telecommunications,2023,1,True
India,Consumer goods,2015,378,True
Ireland,Hardware,2019,65,True
Ireland,Software,2019,90,True
Israel,All,2022,3912,True
Israel,Professional services,2015,6,True
Israel,Energy and natural resources,2015,4,True
Israel,Media and Entertainment,2015,33,True
Italy,Media and Entertainment,2014,1,True
Italy,Media and Entertainment,2016,2,True
Italy,General purpose,2015,34,True
Japan,Software,2015,35,True
Japan,All,2019,1056,True
Japan,Professional services,2023,16,True
Japan,Education,2015,2,True
South Korea,Information Technology,2015,2,True
South Korea,Hardware,2021,198,True
South Korea,Hardware,2024,54,False
South Korea,Computer Vision,2016,0,True
South Korea,Community and Lifestyle,2020,1,True
South Korea,Consumer goods,2023,6,True
Mexico,Information Technology,2016,0,True
Mexico,Software,2014,0,True
Mexico,Data and analytics,2014,0,True
Malaysia,Data and analytics,2014,0,True
Malaysia,Data and analytics,2016,0,True
Netherlands,Robotics,2018,1,True
Netherlands,Data and analytics,2015,19,True
Netherlands,Other,2018,8,True
Netherlands,Other,2020,1,True
Poland,"Sales, retail, commerce, marketing",2019,4,True
Portugal,Hardware,2019,6,True
Portugal,Software,2021,82,True
Singapore,Data and analytics,2014,20,True
Singapore,Data and analytics,2018,325,True
Singapore,All,2016,85,True
Singapore,Information Technology,2020,472,True
Singapore,Healthcare and Life Sciences,2018,27,True
Singapore,Healthcare and Life Sciences,2020,19,True
Slovakia,Software,2020,8,True
Slovakia,All,2014,1,True
Sweden,Software,2024,85,False
Turkey,Information Technology,2023,4,True
Turkey,All,2014,0,True
United States,All,2022,50391,True
United States,Other,2015,411,True
United States,Transportation,2021,8612,True
United States,Education,2023,70,True
United States,Healthcare and Life Sciences,2022,2596,True
United States,Telecommunications,2014,85,True
United States,Manufacturing,2024,597,False
United States,Gaming,2017,21,True
United States,Speech Recognition,2020,300,True
United States,Energy and natural resources,2023,349,True
United States,Software,2024,24202,False
United States,Agriculture,2016,22,True
United States,Semiconductor,2024,497,False
Lithuania,Software,2023,2,True
Taiwan,Media and Entertainment,2023,0,True
United Arab Emirates,General purpose,2018,8,True
Germany,Telecommunications,2023,1,True
Denmark,General purpose,2024,55,False
Denmark,Hardware,2019,17,True
Denmark,Software,2018,164,True
Spain,Real estate,2018,4,True
Indonesia,General purpose,2017,1,True
Israel,Cyber Security,2015,5,True
Israel,Biotechnology,2023,8,True
South Korea,Biotechnology,2016,1,True
South Korea,Professional services,2019,10,True
Netherlands,Privacy and Security,2020,5,True
Saudi Arabia,General purpose,2016,1,True
Sweden,Other,2015,0,True
South Africa,Finance,2020,18,True
Finland,Real estate,2022,25,True
South Korea,Privacy and Security,2020,3,True
Australia,Robotics,2024,1,False
Egypt,Software,2023,3,True
United Kingdom,"Military, public safety and government",2020,22,True
India,Speech Recognition,2021,8,True
Kenya,Finance,2023,7,True
Kenya,All,2021,11,True
South Korea,Transportation,2021,30,True
Lithuania,Information Technology,2016,0,True
Lithuania,Data and analytics,2017,0,True
Norway,Manufacturing,2022,113,True
Romania,Data and analytics,2019,2,True
Vietnam,General purpose,2020,1,True
Finland,Agriculture,2021,3,True
Israel,Semiconductor,2024,10,False
Sri Lanka,Information Technology,2022,0,True
Norway,Professional services,2018,8,True
South Africa,Information Technology,2023,0,True
South Africa,General purpose,2017,6,True
Estonia,Transportation,2019,0,True
Japan,Semiconductor,2020,1,True
Poland,Real estate,2018,1,True
Singapore,Education,2018,1,True
Serbia,Finance,2019,0,True
Czechia,Sports,2022,2,True
Malta,Finance,2021,25,True
Vietnam,Community and Lifestyle,2021,0,True
Sri Lanka,Education,2021,0,True
Ukraine,Healthcare and Life Sciences,2024,0,False
Colombia,Computer Vision,2022,0,True
Kazakhstan,Lending and Investments,2022,0,True
Georgia,All,2022,0,True
Sri Lanka,Finance,2022,0,True
Tunisia,Community and Lifestyle,2024,0,False
Luxembourg,Healthcare and Life Sciences,2022,0,True
Chile,Navigation and mapping,2023,0,True
Albania,Media and Entertainment,2019,7,True
United Arab Emirates,Community and Lifestyle,2022,1,True
United Arab Emirates,Lending and Investments,2023,7,True
Australia,Cyber Security,2015,0,True
Austria,Computer Vision,2021,5,True
Bulgaria,Data and analytics,2018,0,True
Bulgaria,Data and analytics,2022,0,True
Bulgaria,Hardware,2021,0,True
Bosnia and Herzegovina,General purpose,2020,0,True
Brazil,Real estate,2022,3,True
Brazil,Lending and Investments,2022,1,True
Switzerland,Semiconductor,2020,1,True
Chile,Education,2014,0,True
Chile,Biotechnology,2019,0,True
China (mainland),Cyber Security,2021,134,True
Cyprus,"Mobile, platforms & Internet services",2020,4,True
Egypt,Community and Lifestyle,2023,1,True
Spain,Gaming,2016,0,True
Estonia,"Sales, retail, commerce, marketing",2015,0,True
Estonia,Education,2021,1,True
