country,field,year,num_citations
San Marino,All,2022,4
Djibouti,All,2017,19
Cape Verde,All,2022,29
Laos,All,2020,58
Dominican Republic,All,2023,25
Gambia,All,2024,9
Albania,Robotics,2024,1
Botswana,Robotics,2022,46
Liberia,Robotics,2017,5
Burundi,Robotics,2020,13
Georgia,Robotics,2017,36
Armenia,Robotics,2014,5
Uruguay,AI Safety,2020,2
Croatia,AI Safety,2019,69
North Korea,Computer Vision,2023,1
North Korea,Computer Vision,2024,1
Burkina Faso,Computer Vision,2016,23
Sierra Leone,Computer Vision,2020,6
Liechtenstein,Computer Vision,2020,15
Greece,Large language models,2018,6
Austria,Large language models,2022,535
Kuwait,Large language models,2024,2
Nigeria,Large language models,2023,3
Iran,Large language models,2020,526
Iceland,Large language models,2022,35
Syria,Natural Language Processing,2018,23
Kosovo,Natural Language Processing,2023,27
Malawi,Natural Language Processing,2020,4
Côte d'Ivoire,Natural Language Processing,2023,4
Kyrgyzstan,Natural Language Processing,2022,3
Venezuela,Computer Vision,2019,96
South Korea,All,2021,214011
Jamaica,All,2015,2279
Jamaica,All,2021,1357
Brazil,All,2015,38167
Northern America,All,2017,2429001
Armenia,All,2020,1165
Singapore,All,2015,98492
Sweden,All,2018,58683
Brunei Darussalam,All,2019,927
Iran,All,2016,46096
Iran,All,2023,25516
Lebanon,All,2015,3372
New Zealand,All,2024,1069
Guatemala,All,2020,164
Nicaragua,All,2023,187
Canada,All,2014,483502
Switzerland,All,2015,94005
Indonesia,All,2022,21449
Kazakhstan,All,2023,1772
China (mainland),All,2016,1019089
Venezuela,All,2023,214
North Macedonia,All,2017,1332
Cyprus,All,2014,2312
Tanzania,All,2019,688
Qatar,All,2020,23792
Ireland,All,2017,24385
Global Partnership on Artificial Intelligence,All,2024,158763
Turkey,All,2016,43204
Myanmar,All,2016,566
EU,All,2017,1187077
Russia,All,2016,44493
Greece,Robotics,2016,4815
Slovenia,Robotics,2021,662
Bulgaria,Robotics,2024,36
Yemen,Robotics,2015,41
NATO,Robotics,2019,384824
Malaysia,Robotics,2016,5128
Tunisia,Robotics,2023,169
Finland,Robotics,2019,4873
Vietnam,Robotics,2015,581
Romania,Robotics,2015,2369
